times, alts, vels, leftVel, rightVel, accels, rollAxisGrav, yawAxisGrav, pitchAxisGrav, rollAxisLin, yawAxisLin, pitchAxisLin, rollAxisGyro, yawAxisGyro, pitchAxisGyro, roll, yaw, pitch, vSPP, encPos, encPosCmd, limit_out, limit_in, encMax, encMin
60687334,24.722,-0.749,0.100,-0.759,0.009676,0.010,0.100,9.800,0.010,0.000,0.100,0.0000,0.0022,-0.0011,255.000,-0.562,0.062,231.420,-6,0,1,1,240,0,60
60688576,24.882,-0.732,-0.030,-0.742,0.009678,0.010,0.100,9.800,0.050,0.000,-0.030,0.0022,0.0011,-0.0011,255.000,-0.562,0.062,231.402,-6,0,1,1,240,0,60
60689636,24.882,-0.712,0.000,-0.722,0.009402,0.010,0.100,9.800,0.020,0.040,0.000,0.0011,0.0000,-0.0011,255.000,-0.562,0.062,231.402,-6,0,1,1,240,0,60
60690788,24.882,-0.705,0.050,-0.713,0.008782,0.010,0.100,9.800,0.010,0.020,0.050,0.0011,0.0022,-0.0011,255.000,-0.562,0.062,231.402,-6,0,1,1,240,0,60
60691773,24.819,-0.726,0.090,-0.735,0.008938,0.010,0.100,9.800,-0.040,0.000,0.090,-0.0033,0.0022,0.0000,255.000,-0.562,0.062,231.409,-6,0,1,1,240,0,60
60693608,24.819,-0.688,-0.040,-0.697,0.009082,0.010,0.100,9.800,-0.030,0.000,-0.040,0.0011,0.0000,-0.0011,255.000,-0.562,0.062,231.409,-6,0,1,1,240,0,60
60695107,25.034,-0.498,0.040,-0.507,0.008703,0.010,0.100,9.800,-0.020,0.000,0.040,0.0000,-0.0011,0.0000,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60696317,25.034,-0.308,0.080,-0.316,0.008566,0.010,0.100,9.800,0.000,0.010,0.080,0.0000,0.0011,0.0000,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60698164,25.034,-0.201,0.080,-0.211,0.009323,0.010,0.100,9.800,0.020,0.010,0.080,-0.0022,-0.0011,0.0044,255.000,-0.562,0.062,231.384,-6,0,1,1,240,0,60
60699342,25.053,-0.090,0.030,-0.100,0.009733,0.010,0.100,9.800,-0.010,-0.030,0.030,-0.0033,0.0000,0.0000,255.000,-0.562,0.062,231.382,-6,0,1,1,240,0,60
60700417,25.053,0.016,0.059,0.006,0.010272,0.010,0.100,9.800,0.000,-0.050,0.060,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.382,-6,0,1,1,240,0,60
60701671,25.053,0.119,0.069,0.108,0.010807,0.010,0.100,9.800,0.000,-0.050,0.070,0.0022,0.0000,0.0011,255.000,-0.562,0.062,231.382,-6,0,1,1,240,0,60
60702809,24.805,0.066,0.070,0.055,0.010856,0.010,0.100,9.800,-0.010,-0.030,0.070,-0.0011,-0.0011,0.0000,255.000,-0.562,0.062,231.411,-6,0,1,1,240,0,60
60704478,24.805,0.016,0.050,0.005,0.010842,0.010,0.100,9.800,0.000,0.030,0.050,0.0022,0.0011,0.0033,255.000,-0.562,0.062,231.411,-6,0,1,1,240,0,60
60705479,24.805,-0.016,0.050,-0.026,0.010332,0.010,0.100,9.800,-0.010,0.020,0.050,0.0022,0.0000,0.0011,255.000,-0.562,0.062,231.411,-6,0,1,1,240,0,60
60706689,25.019,0.030,0.070,0.020,0.009982,0.010,0.100,9.800,-0.030,0.010,0.070,-0.0033,-0.0011,0.0011,255.000,-0.562,0.062,231.386,-6,0,1,1,240,0,60
60708154,25.019,0.071,0.050,0.061,0.009750,0.010,0.100,9.800,-0.020,0.000,0.050,0.0033,-0.0011,-0.0022,255.000,-0.562,0.062,231.386,-6,0,1,1,240,0,60
60709343,25.005,0.100,0.010,0.091,0.009673,0.010,0.100,9.800,0.000,-0.010,0.010,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.388,-6,0,1,1,240,0,60
60710940,25.005,0.259,0.070,0.248,0.010464,0.010,0.100,9.800,-0.010,-0.020,0.070,0.0000,-0.0011,-0.0011,255.000,-0.562,0.062,231.388,-6,0,1,1,240,0,60
60711907,25.005,0.420,0.070,0.409,0.010848,0.010,0.100,9.800,0.010,-0.010,0.070,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.388,-6,0,1,1,240,0,60
60713538,24.964,0.409,-0.020,0.398,0.010566,0.010,0.100,9.800,0.040,0.000,-0.020,-0.0011,0.0000,0.0000,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60714701,24.964,0.395,0.030,0.385,0.010166,0.010,0.100,9.800,0.010,0.000,0.030,0.0000,-0.0011,0.0011,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60716246,24.868,0.333,0.050,0.322,0.010785,0.010,0.100,9.800,0.020,0.000,0.050,0.0000,0.0022,-0.0022,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60717345,24.744,0.267,0.100,0.256,0.010881,0.010,0.100,9.800,0.000,-0.020,0.100,-0.0011,0.0011,-0.0022,255.000,-0.562,0.062,231.418,-6,0,1,1,240,0,60
60718459,24.744,0.209,-0.010,0.199,0.009903,0.010,0.100,9.800,0.000,0.010,-0.010,0.0022,0.0000,0.0011,255.000,-0.562,0.062,231.418,-6,0,1,1,240,0,60
60720131,24.681,0.128,0.010,0.118,0.009257,0.010,0.100,9.800,0.000,0.000,0.010,-0.0011,0.0022,-0.0022,255.000,-0.562,0.062,231.425,-6,0,1,1,240,0,60
60721718,24.681,0.015,0.110,0.005,0.009733,0.010,0.100,9.800,0.000,0.020,0.110,0.0000,0.0000,-0.0011,255.000,-0.562,0.062,231.425,-6,0,1,1,240,0,60
60722814,24.681,-0.092,0.020,-0.101,0.009636,0.010,0.100,9.800,0.030,0.000,0.020,-0.0022,-0.0011,-0.0011,255.000,-0.562,0.062,231.425,-6,0,1,1,240,0,60
60724602,24.971,-0.058,0.040,-0.068,0.009382,0.010,0.100,9.800,0.030,0.000,0.040,-0.0011,-0.0011,-0.0011,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60725585,24.971,-0.099,0.050,-0.108,0.008822,0.010,0.100,9.800,0.020,0.000,0.050,-0.0011,0.0011,-0.0022,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60726591,24.971,-0.147,0.090,-0.156,0.009025,0.010,0.100,9.800,0.000,-0.010,0.090,0.0011,0.0000,-0.0022,255.000,-0.562,0.062,231.392,-6,0,1,1,240,0,60
60727574,24.716,-0.317,0.070,-0.326,0.009085,0.010,0.100,9.800,-0.030,0.000,0.070,0.0000,-0.0011,0.0000,255.000,-0.562,0.062,231.421,-6,0,1,1,240,0,60
60728770,24.716,-0.412,-0.010,-0.420,0.008565,0.010,0.100,9.800,-0.010,0.010,-0.010,-0.0011,0.0000,0.0011,255.000,-0.562,0.062,231.421,-6,0,1,1,240,0,60
60729907,24.716,-0.503,0.010,-0.511,0.008209,0.010,0.100,9.800,-0.030,0.000,0.010,0.0011,0.0000,0.0022,255.000,-0.562,0.062,231.421,-6,0,1,1,240,0,60
60731586,24.826,-0.540,0.090,-0.549,0.008410,0.010,0.100,9.800,-0.030,0.000,0.090,0.0022,0.0000,0.0000,255.000,-0.562,0.062,231.408,-6,0,1,1,240,0,60
60732946,24.826,-0.609,0.100,-0.618,0.009025,0.010,0.100,9.800,-0.010,0.000,0.100,0.0000,0.0011,-0.0022,255.000,-0.562,0.062,231.408,-6,0,1,1,240,0,60
60734249,24.840,-0.670,-0.000,-0.679,0.009269,0.010,0.100,9.800,-0.030,-0.020,0.000,-0.0022,-0.0011,0.0000,255.000,-0.562,0.062,231.407,-6,0,1,1,240,0,60
