time,altitude,acceleration
20946,0.504574918287,-0.013
21199,0.588674310327,-0.016
21437,0.0840881650131,-0.028
21667,0.504574918287,-0.013
21899,0.25228082499,-0.024
22133,0.840976569436,-0.021
22370,0.588674310327,-0.002
22633,1.09328495329,-0.014
22860,-0.252288990034,-0.011
23086,0.25228082499,-0.027
23318,0.840976569436,-0.019
23547,0.504574918287,-0.024
23778,0.0840881650131,-0.035
24010,0.168184154787,-0.003
24239,0.168184154787,-0.028
24467,0.0840881650131,-0.008
24695,0.0840881650131,-0.027
24925,0.504574918287,-0.019
25153,0.92507868351,-0.003
25404,0.92507868351,-0.028
25596,1.00918147812,-0.018
25823,0.168184154787,-0.025
26050,0.840976569436,-0.005
26277,0.168184154787,-0.022
26520,0.92507868351,-0.014
26746,-7.14434223426e-06,-0.006
26974,0.168184154787,-0.028
27202,0.25228082499,-0.002
27439,0.672774382854,-0.028
27670,-7.14434223426e-06,-0.019
27896,-0.0841017732936,-0.004
28124,0.168184154787,-0.028
28350,0.588674310327,-0.016
28577,-0.336381577847,-0.021
28789,0.168184154787,-0.009
28962,-0.168195721856,-0.019
29192,0.588674310327,-0.016
29416,-7.14434223426e-06,-0.021
29643,0.168184154787,-0.002
29869,0.168184154787,-0.024
30097,0.672774382854,-0.006
30323,0.756875135889,-0.025
30561,0.168184154787,-0.011
30788,0.0840881650131,-0.004
31042,-7.14434223426e-06,-0.028
31280,0.168184154787,-0.031
31542,-0.0841017732936,-0.021
31771,-0.420473485306,-0.025
31996,0.0840881650131,-0.011
32221,-0.0841017732936,-0.028
32447,-0.504564712425,-0.025
32674,0.168184154787,-0.019
32901,-0.420473485306,-0.011
33127,0.0840881650131,-0.016
33357,0.25228082499,-0.021
33601,-7.14434223426e-06,-0.004
33827,-0.252288990034,-0.025
34058,0.588674310327,-0.019
34288,0.504574918287,-0.003
34514,0.672774382854,-0.028
34742,0.756875135889,-0.007
34943,0.168184154787,-0.022
35171,-0.168195721856,-0.021
35400,-0.0841017732936,-0.014
35657,0.672774382854,-0.019
35929,-0.168195721856,-0.006
36164,0.0840881650131,-0.011
36394,0.672774382854,-0.011
36624,-0.168195721856,-0.016
36855,-0.0841017732936,-0.016
37084,-0.420473485306,-0.001
37312,0.0840881650131,-0.021
37540,-0.168195721856,-0.009
37770,0.168184154787,-0.031
38003,0.0840881650131,-0.013
38232,-0.0841017732936,-0.006
38408,0.168184154787,-0.028
